,Time,FormattertTime
0,5.616120100021362,00:00:05
1,12.271376848220825,00:00:12
2,17.439022064208984,00:00:17
3,22.284609079360962,00:00:22
4,24.804651021957397,00:00:24
5,27.286144018173218,00:00:27
6,30.40041494369507,00:00:30
7,31.447273015975952,00:00:31
8,33.24946212768555,00:00:33
9,36.42212200164795,00:00:36
10,37.477763175964355,00:00:37
11,38.71106791496277,00:00:38
12,39.82691693305969,00:00:39
13,41.63840103149414,00:00:41
14,42.963561058044434,00:00:42
15,45.38732600212097,00:00:45
16,46.49629282951355,00:00:46
17,47.61986780166626,00:00:47
18,49.892394065856934,00:00:49
19,51.04827809333801,00:00:51
20,52.25017285346985,00:00:52
21,53.995741844177246,00:00:53
22,55.05735492706299,00:00:55
23,56.116421937942505,00:00:56
24,57.21914100646973,00:00:57
25,59.524046182632446,00:00:59
26,62.319053173065186,00:01:02
27,65.74539804458618,00:01:05
28,68.0980429649353,00:01:08
29,69.68286991119385,00:01:09
30,70.67926716804504,00:01:10
31,71.63530397415161,00:01:11
32,72.64032411575317,00:01:12
33,73.60696601867676,00:01:13
34,74.85663795471191,00:01:14
